source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
C0074554	0	UMLS	simvastatin	1539403	RxNorm	1970-01-01	2099-12-31	
C0032952	0	UMLS	prednisone	1551099	RxNorm	1970-01-01	2099-12-31	
C0013092	0	UMLS	doxylamine	738818	RxNorm	1970-01-01	2099-12-31	
C0073992	0	UMLS	salmeterol	1137529	RxNorm	1970-01-01	2099-12-31	
C0016967	0	UMLS	galantamine	757627	RxNorm	1970-01-01	2099-12-31	
C0002598	0	UMLS	amiodarone	1309944	RxNorm	1970-01-01	2099-12-31	
C0020740	0	UMLS	ibuprofen	1177480	RxNorm	1970-01-01	2099-12-31	
C0020264	0	UMLS	hydrocodone	1174888	RxNorm	1970-01-01	2099-12-31	
C0026056	0	UMLS	midazolam	708298	RxNorm	1970-01-01	2099-12-31	
C0025506	0	UMLS	mestranol	1503184	RxNorm	1970-01-01	2099-12-31	
C0061851	0	UMLS	ondansetron	1000560	RxNorm	1970-01-01	2099-12-31	
C0010592	0	UMLS	cyclosporine	19010482	RxNorm	1970-01-01	2099-12-31	
C0074414	0	UMLS	sevoflurane	19039298	RxNorm	1970-01-01	2099-12-31	
C0014912	0	UMLS	estradiol	1548195	RxNorm	1970-01-01	2099-12-31	
C0286651	0	UMLS	atorvastatin	1545958	RxNorm	1970-01-01	2099-12-31	
C0082607	0	UMLS	fluticasone	1149380	RxNorm	1970-01-01	2099-12-31	
C0019134	0	UMLS	heparin	1367571	RxNorm	1970-01-01	2099-12-31	
C0025810	0	UMLS	methylphenidate	705944	RxNorm	1970-01-01	2099-12-31	
C0047683	0	UMLS	etonogestrel	1519936	RxNorm	1970-01-01	2099-12-31	
C0025147	0	UMLS	medroxyprogesterone	1500211	RxNorm	1970-01-01	2099-12-31	
C0037494	0	UMLS	sodium chloride	967823	RxNorm	1970-01-01	2099-12-31	
C0085173	0	UMLS	terfenadine	1150836	RxNorm	1970-01-01	2099-12-31	
C0039245	0	UMLS	tacrine	836654	RxNorm	1970-01-01	2099-12-31	
C0085170	0	UMLS	astemizole	1150770	RxNorm	1970-01-01	2099-12-31	
C0065180	0	UMLS	loratadine	1107830	RxNorm	1970-01-01	2099-12-31	
C0070166	0	UMLS	clopidogrel	1322184	RxNorm	1970-01-01	2099-12-31	
C0068992	0	UMLS	norgestimate	1515774	RxNorm	1970-01-01	2099-12-31	
C0004057	0	UMLS	aspirin	1112807	RxNorm	1970-01-01	2099-12-31	
C0002680	0	UMLS	ampicillin	1717327	RxNorm	1970-01-01	2099-12-31	
C0006949	0	UMLS	carbamazepine	740275	RxNorm	1970-01-01	2099-12-31	
C0031955	0	UMLS	piperacillin	1746114	RxNorm	1970-01-01	2099-12-31	
C0025677	0	UMLS	methotrexate	1305058	RxNorm	1970-01-01	2099-12-31	
C0000970	0	UMLS	acetaminophen	1125315	RxNorm	1970-01-01	2099-12-31	
C0022180	0	UMLS	isoflurane	782043	RxNorm	1970-01-01	2099-12-31	
C0042523	0	UMLS	verapamil	1307863	RxNorm	1970-01-01	2099-12-31	
C0012265	0	UMLS	digoxin	1326303	RxNorm	1970-01-01	2099-12-31	
C1120952	0	UMLS	norelgestromin	1518198	RxNorm	1970-01-01	2099-12-31	
C0040165	0	UMLS	levothyroxine	1501700	RxNorm	1970-01-01	2099-12-31	
C0004259	0	UMLS	atropine	914335	RxNorm	1970-01-01	2099-12-31	
C0110038	0	UMLS	clavulanate	1759842	RxNorm	1970-01-01	2099-12-31	
C0007562	0	UMLS	cefuroxime	1778162	RxNorm	1970-01-01	2099-12-31	
C1968272	0	UMLS	inert ingredients	19127890	RxNorm	1970-01-01	2099-12-31	
C0007537	0	UMLS	cefaclor	1768849	RxNorm	1970-01-01	2099-12-31	
C0013090	0	UMLS	doxycycline	1738521	RxNorm	1970-01-01	2099-12-31	
C0527316	0	UMLS	donepezil	715997	RxNorm	1970-01-01	2099-12-31	
C0015011	0	UMLS	ethinyl estradiol	1549786	RxNorm	1970-01-01	2099-12-31	
C0028356	0	UMLS	norethindrone	1521369	RxNorm	1970-01-01	2099-12-31	
C0043822	0	UMLS	drospirenone	1512674	RxNorm	1970-01-01	2099-12-31	
C0060282	0	UMLS	ferrous sulfate	1396131	RxNorm	1970-01-01	2099-12-31	
C0025242	0	UMLS	memantine	701322	RxNorm	1970-01-01	2099-12-31	
C0001927	0	UMLS	albuterol	1154343	RxNorm	1970-01-01	2099-12-31	
C0075870	0	UMLS	tazobactam	1741122	RxNorm	1970-01-01	2099-12-31	
C0055147	0	UMLS	cetirizine	1149196	RxNorm	1970-01-01	2099-12-31	
C0042845	0	UMLS	vitamin B12	1308738	RxNorm	1970-01-01	2099-12-31	
C0027396	0	UMLS	naproxen	1115008	RxNorm	1970-01-01	2099-12-31	
C0025376	0	UMLS	meperidine	1102527	RxNorm	1970-01-01	2099-12-31	
C0057916	0	UMLS	dienogest	19054876	RxNorm	1970-01-01	2099-12-31	
C0026549	0	UMLS	morphine	1110410	RxNorm	1970-01-01	2099-12-31	
C0246631	0	UMLS	remifentanil	19016749	RxNorm	1970-01-01	2099-12-31	
C0296800	0	UMLS	fexofenadine	1153428	RxNorm	1970-01-01	2099-12-31	
C0014563	0	UMLS	epinephrine	1343916	RxNorm	1970-01-01	2099-12-31	
C0011816	0	UMLS	dextromethorphan	1119510	RxNorm	1970-01-01	2099-12-31	
C0023566	0	UMLS	levonorgestrel	1589505	RxNorm	1970-01-01	2099-12-31	
C0017887	0	UMLS	nitroglycerin	1361711	RxNorm	1970-01-01	2099-12-31	
C0060276	0	UMLS	ferrous fumarate	1595799	RxNorm	1970-01-01	2099-12-31	
C0020268	0	UMLS	hydrocortisone	975125	RxNorm	1970-01-01	2099-12-31	
C0033487	0	UMLS	propofol	753626	RxNorm	1970-01-01	2099-12-31	
C0028156	0	UMLS	nitrofurantoin	920293	RxNorm	1970-01-01	2099-12-31	
C0031379	0	UMLS	phenazopyridine	933724	RxNorm	1970-01-01	2099-12-31	
C0102118	0	UMLS	alendronate	1557272	RxNorm	1970-01-01	2099-12-31	
C0012010	0	UMLS	diazepam	723013	RxNorm	1970-01-01	2099-12-31	
C0012522	0	UMLS	diphenhydramine	1129625	RxNorm	1970-01-01	2099-12-31	
C0030840	0	UMLS	penicillin V	1729720	RxNorm	1970-01-01	2099-12-31	
C0002645	0	UMLS	amoxicillin	1713332	RxNorm	1970-01-01	2099-12-31	
C0032143	0	UMLS	alteplase	1347450	RxNorm	1970-01-01	2099-12-31	
C0043031	0	UMLS	warfarin	1310149	RxNorm	1970-01-01	2099-12-31	
C0030049	0	UMLS	oxycodone	1124957	RxNorm	1970-01-01	2099-12-31	
C0051696	0	UMLS	amlodipine	1332418	RxNorm	1970-01-01	2099-12-31	
C0008281	0	UMLS	chlorpheniramine	1192710	RxNorm	1970-01-01	2099-12-31	
C0209337	0	UMLS	rocuronium	19003953	RxNorm	1970-01-01	2099-12-31	
C0076823	0	UMLS	atomoxetine	742185	RxNorm	1970-01-01	2099-12-31	
C0143993	0	UMLS	sufentanil	19078219	RxNorm	1970-01-01	2099-12-31	
C0030827	0	UMLS	penicillin G	1728416	RxNorm	1970-01-01	2099-12-31	
