from	to
C0541315	C2757016
C0541315	C2962190
C0541315	C2962753
C0541315	C1515672
C0065023	C2757009
C3529078	C1373046
C2987431	C3856094
C2934193	C1373132
C2606556	C2266875
C2973446	C1373118
C2973446	C3205597
C1337395	C2757009
C0666743	C2757019
C0666743	C2267209
C0666743	C2266940
C0213771	C2757022
C0213771	C1373102
C3644500	C2757016
C2347624	C2916842
C2344297	C3160092
C0083858	C3160092
C2344295	C3160092
C3864832	C3160092
C3864831	C3160092
C3864830	C3160092
C2742797	C2917257
C1609931	C3864925
C1832049	C4084257
C4049146	C2757016
C4049146	C1152564
C3491971	C1373092
C0123677	C1373092
C3491162	C4051516
C3852726	C2756995
C0075870	C1373040
C4055433	C3883352
C2987417	C2757011
C2987417	C2757016
C2346801	C4084255
C0011701	C1373064
C3273711	C2266856
C0166025	C1373129
C0879427	C2916831
C4318037	C1152564
C3658706	C3883352
C3644554	C2267154
C1611934	C2917254
C3555622	C3665047
C3657270	C3883352
C2316164	C4019043
C4329353	C1372996
C4329353	C1373082
C4055109	C4475440
C4055109	C4475439
C2930696	C3856094
C0770325	C3537049
C4507568	C1373111
C0909839	C1373111
C3713958	C1373111
C1134659	C4522891
C1699861	C4084261
C4475875	C1373066
C4505511	C4294556
C4080091	C2267115
C4080091	C1152564
C4080091	C4018500
C4080091	C3665038
C4080091	C3883354
C4080091	C3883353
C4080091	C3819035
C4080091	C3819038
C4080091	C3819043
C4080091	C3500476
C4524315	C5234669
C3885068	C2916791
C1832021	C2962753
C1832021	C3665041
C1832021	C3500483
C4726799	C4019043
C3253985	C2756984
C3253985	C4018500
C3253985	C3665041
C0209738	C1373111
C0024472	C2267221
C0024472	C2267222
C0024472	C1373066
C0032825	C2267221
C0032825	C2267222
C0017734	C1373089
C0037494	C2267221
C0037494	C2267222
C0074722	C2267221
C0074722	C2267222
C0006686	C2267178
C0064582	C2917193
C0064582	C1373108
C0138038	C2267221
C0138038	C2267222
C4078806	C2916807
C4549503	C2267208
C4086264	C2757016
C4086264	C2267115
C1566537	C2917234
C1566537	C2267120
C1566537	C4522891
C4550124	C4522891
C4547776	C1373082
C2976303	C3883351
C4079582	C3819035
C4079582	C3819040
C4079582	C3819042
C4079582	C3819041
C4079582	C3500483
C4507236	C3160090
C4507236	C3819035
C4507236	C3819042
C4507236	C3819041
C4507236	C3500483
C4542175	C5550909
C1608841	C4294558
C1608841	C4294556
C4519323	C2757011
C4519323	C2962753
C4519323	C5833841
C4519323	C3665041
C4519323	C3500476
C4519323	C3500483
C4055478	C1152564
C2713008	C2757016
C2713008	C1152564
C2713008	C3500483
C0596005	C1373102
C0724635	C2267221
C0724635	C1518622
C1165377	C2267221
C1165377	C1518622
C4726732	C2916825
C4726732	C3819028
C1530889	C3864928
C5140028	C4553800
C5139676	C5781810
C5139676	C5550913
C5139676	C4703363
C5139676	C4018500
C0717758	C2757019
C0717758	C2267209
C0717758	C2267210
C0717758	C2266940
C0066282	C2756982
C0066282	C1373004
C0025368	C2757014
C3272344	C1373046
C4743552	C2757011
C4743552	C2916792
C4743552	C5550913
C4743552	C4759632
C4743552	C4018500
C4743552	C3819035
C4743552	C3500475
C4743552	C3500483
C0087163	C2267218
C0003968	C1373066
C0003968	C1517315
C0035527	C1373066
C0068724	C1373066
C4078312	C2757011
C4726677	C3883351
C4519220	C4709344
C0066677	C2757017
C0012522	C2757048
C0006809	C1373108
C0969677	C1517315
C0037548	C1373066
C0700496	C1373066
C0028027	C2757029
C0028027	C1373066
C4528198	C1152564
C0000970	C1373004
C0028426	C2962760
C0546857	C2757048
C1101751	C2756999
C1142985	C1373094
C1832027	C2266858
C0032479	C1373108
C5139749	C2757011
C5139749	C2916792
C5139749	C2267146
C5139749	C3665040
C5139749	C3819035
C5139749	C3500483
C0021246	C2756982
C4287804	C2757011
C4287804	C2962187
C4287804	C2267147
C4287804	C1152564
C4287804	C3883348
C4287804	C3819038
C3818973	C2955534
C4726929	C3856094
C4287799	C1152564
C4287799	C5446063
C4287799	C3500483
C0024480	C2267221
C0024480	C2267222
C0024480	C1373066
C3640939	C4522885
C0078373	C1517315
C1095803	C1373006
C4541993	C4553800
C4683810	C2757011
C4683810	C5445068
C0907402	C1373092
C5446297	C2267208
C4482908	C2757051
C4482908	C2962753
C4482908	C3819037
C5207169	C2757051
C1505020	C2757023
C1505020	C2757053
C2987007	C2757016
C0010592	C2757068
C0010592	C2962753
C0010592	C1373108
C0010592	C3500483
C0796392	C2917234
C0796392	C2267120
C0796392	C4522891
C0012551	C3267918
C0305062	C2267208
C1700874	C2757016
C1700874	C2267115
C0060926	C1373108
C0126791	C2267221
C0126791	C2267222
C0126791	C1373066
C0770893	C1373092
C0008838	C2757009
C3885614	C2757007
C3885614	C1373043
C0169964	C1373064
C0169964	C3537106
C0028833	C1373046
C3539953	C2756984
C4058810	C1152564
C4058810	C3883361
C4058810	C3819035
C4058810	C3819037
C4058810	C3500476
C0030899	C1373108
C2826354	C2266856
C0216784	C2757003
C0216784	C2936805
C3892871	C1373040
C0770649	C2756995
C4287815	C2757011
C4287815	C2757016
C4287815	C3819038
C0304411	C2757022
C0304411	C1373102
C0754517	C2936780
C0754517	C2267188
C0772326	C2962193
C3852841	C2757016
C3852841	C1152564
C2001856	C2266856
C1718383	C3500478
C0526371	C2757016
C0526371	C2267115
C0020261	C2936808
C0288171	C2757003
C0288171	C2936805
C0304925	C1518622
C0304925	C1373089
C0028333	C2757042
C0028333	C1373135
C0076195	C1373097
C1099776	C1373111
C0042291	C1373038
C0042291	C1373022
C0037567	C1373022
C0037567	C1373038
C0700473	C2757053
C0286650	C2756999
C0354468	C2757014
C0354468	C2916833
C0014708	C2756989
C0014708	C2757042
C0014708	C2757052
C0016377	C2756982
C2587184	C2757029
C2979805	C2757029
C0003641	C2757063
C2369149	C1373108
C0724543	C2267178
C3530515	C2756995
C0386393	C2757003
C0386393	C2936805
C0001898	C2267218
C0003765	C2267218
C0289884	C1383096
C0017890	C2267218
C3463896	C2756999
C0771488	C2757009
C0771488	C2266855
C0388087	C2955436
C0034239	C1373108
C4055417	C4475440
C4055417	C4475439
C1615645	C2756978
C1615645	C2917290
C0087093	C2757061
C0087093	C1373134
C0087093	C1373133
C0673966	C2757046
C0248719	C2757003
C0248719	C2936805
